Date,Open,High,Low,Close,Volume
29-Apr-16,248.14,248.43,237.81,240.76,5388701
28-Apr-16,249.85,253.43,247.44,247.71,2509509
27-Apr-16,252.75,255,249.4,251.47,3190682
26-Apr-16,252.05,255.73,249.39,253.74,3212470
25-Apr-16,253.01,257.38,250.76,251.82,3664293
22-Apr-16,248.89,254,245.71,253.75,3774648
21-Apr-16,248.99,250.9,246.91,248.29,2783059
20-Apr-16,246.26,253.66,241.5,249.97,5190831
19-Apr-16,253.12,254.37,241.25,247.37,6349403
18-Apr-16,252.23,258.31,251.66,253.88,4261782
15-Apr-16,251.31,254.6,249.12,254.51,3742018
14-Apr-16,253,256.84,251.05,251.86,4119980
13-Apr-16,248.51,255.5,247.33,254.53,4917930
12-Apr-16,249.5,251.8,243.63,247.82,5750757
11-Apr-16,251,258.99,245.3,249.92,9153901
08-Apr-16,260.5,260.82,248.02,250.07,7332157
07-Apr-16,266.45,269.34,254.51,257.2,8836815
06-Apr-16,253.97,267.74,253.45,265.42,11679883
05-Apr-16,240.5,256.56,240,255.47,9915160
04-Apr-16,249.12,252.12,243.64,246.99,13289584
01-Apr-16,244.82,247.9,233.25,237.59,15962015
31-Mar-16,229.34,237.42,225.01,229.77,7956740
30-Mar-16,235.09,235.5,226.5,226.89,4019667
29-Mar-16,229.89,232.38,225.33,230.13,4004940
28-Mar-16,231.61,234.81,225,230.26,3875451
24-Mar-16,215.78,228.89,215,227.75,4954411
23-Mar-16,232.37,234.73,222.03,222.58,4921013
22-Mar-16,237.21,238.99,232.56,234.24,4300628
21-Mar-16,235.34,239.88,235,238.32,5286697
18-Mar-16,229.1,234.48,228.06,232.74,4698180
17-Mar-16,221.47,228.5,220,226.38,3754756
16-Mar-16,218,222.58,217.02,221.93,3462107
15-Mar-16,214.27,218.97,211.5,218.34,3180452
14-Mar-16,212.65,216.72,210.64,215.15,4054723
11-Mar-16,207.93,209.42,205.33,207.5,3300358
10-Mar-16,210,213.29,200.67,205.18,5183177
